order_id,product_id,productname,category,subcategory
CA-2016-152156,FUR-BO-10001798,Bush Somerset Collection Bookcase,Furniture,Bookcases
CA-2016-152156,FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Furniture,Chairs
CA-2016-138688,OFF-LA-10000240,Self-Adhesive Address Labels for Typewriters by Universal,Office Supplies,Labels
US-2015-108966,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,Furniture,Tables
US-2015-108966,OFF-ST-10000760,Eldon Fold 'N Roll Cart System,Office Supplies,Storage
CA-2014-115812,FUR-FU-10001487,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",Furniture,Furnishings
CA-2014-115812,OFF-AR-10002833,Newell 322,Office Supplies,Art
CA-2014-115812,TEC-PH-10002275,Mitel 5320 IP Phone VoIP phone,Technology,Phones
CA-2014-115812,OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,Office Supplies,Binders
CA-2014-115812,OFF-AP-10002892,Belkin F5C206VTEL 6 Outlet Surge,Office Supplies,Appliances
CA-2014-115812,FUR-TA-10001539,Chromcraft Rectangular Conference Tables,Furniture,Tables
CA-2014-115812,TEC-PH-10002033,Konftel 250 Conference phone - Charcoal black,Technology,Phones
CA-2017-114412,OFF-PA-10002365,Xerox 1967,Office Supplies,Paper
CA-2016-161389,OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine,Office Supplies,Binders
US-2015-118983,OFF-AP-10002311,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Office Supplies,Appliances
US-2015-118983,OFF-BI-10000756,Storex DuraTech Recycled Plastic Frosted Binders,Office Supplies,Binders
CA-2014-105893,OFF-ST-10004186,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",Office Supplies,Storage
CA-2014-167164,OFF-ST-10000107,Fellowes Super Stor/Drawer,Office Supplies,Storage
CA-2014-143336,OFF-AR-10003056,Newell 341,Office Supplies,Art
CA-2014-143336,TEC-PH-10001949,Cisco SPA 501G IP Phone,Technology,Phones
CA-2014-143336,OFF-BI-10002215,"Wilson Jones Hanging View Binder, White, 1""",Office Supplies,Binders
CA-2016-137330,OFF-AR-10000246,Newell 318,Office Supplies,Art
CA-2016-137330,OFF-AP-10001492,"Acco Six-Outlet Power Strip, 4' Cord Length",Office Supplies,Appliances
US-2017-156909,FUR-CH-10002774,"Global Deluxe Stacking Chair, Gray",Furniture,Chairs
CA-2015-106320,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,Furniture,Tables
CA-2016-121755,OFF-BI-10001634,Wilson Jones Active Use Binders,Office Supplies,Binders
CA-2016-121755,TEC-AC-10003027,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,Technology,Accessories
US-2015-150630,FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Furniture,Bookcases
US-2015-150630,OFF-BI-10000474,Avery Recycled Flexi-View Covers for Binding Systems,Office Supplies,Binders
US-2015-150630,FUR-FU-10004848,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Furniture,Furnishings
US-2015-150630,OFF-EN-10001509,Poly String Tie Envelopes,Office Supplies,Envelopes
